sample_idx,target_smiles,step,token_id,token_text,entropy,varentropy
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,0,19,O,0.014342684298753738,0.09597738087177277
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,1,22,=,0.0008675985736772418,0.01051559392362833
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,2,16,C,0.022557971999049187,0.15537194907665253
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,3,17,(,0.48897987604141235,1.0778918266296387
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,4,19,O,0.3631528317928314,0.8602117896080017
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,5,18,),0.0033559813164174557,0.0342634841799736
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,6,16,C,0.3988792300224304,0.8087632656097412
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,7,16,C,1.6839998960494995,0.6562590599060059
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,8,20,1,0.5693042874336243,0.6769348978996277
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,9,16,C,0.16771210730075836,0.6421473622322083
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,10,34,S,0.7663809061050415,1.263633370399475
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,11,16,C,0.932583749294281,0.5994780659675598
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,12,17,(,0.47759589552879333,1.1307438611984253
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,13,23,N,1.3155124187469482,0.870400071144104
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,14,16,C,0.03693704679608345,0.24550485610961914
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,15,17,(,0.3303327262401581,0.89513099193573
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,16,22,=,0.002676590345799923,0.026320263743400574
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,17,19,O,0.00114263198338449,0.012751351110637188
0,O=C1CN(S(=O)(=O)c2ccc(C(=O)O)cc2)C(=O)C(Cc2ccccc2)CN1,18,18,),0.0006687708082608879,0.008583770133554935
